BGM,BGM Type,1,2,3,4,5,6,7,8,9
Brown,B1,-3.0,-5.0,-5.0,-4.0,-5.0,-5.0,-3.0,-5.0,-5.0
Brown,B2,-8.0,-9.0,-9.0,-8.0,-8.0,-8.0,-7.0,-8.0,-9.0
Brown,B3,-13.0,-14.0,-14.0,-13.0,-13.0,-13.0,-12.0,-13.0,-14.0
Green,G1,-3.0,-5.0,-5.0,-4.0,-5.0,-5.0,-3.0,-5.0,-5.0
Green,G2,-8.0,-9.0,-9.0,-8.0,-8.0,-8.0,-7.0,-8.0,-9.0
Green,G3,-13.0,-14.0,-14.0,-13.0,-13.0,-13.0,-12.0,-13.0,-14.0
Mixed Tinge,MT1,-3.0,-5.0,-5.0,-4.0,-5.0,-5.0,-3.0,-5.0,-5.0
Mixed Tinge,MT2,-8.0,-9.0,-9.0,-8.0,-8.0,-8.0,-7.0,-8.0,-9.0
Mixed Tinge,MT3,-13.0,-14.0,-14.0,-13.0,-13.0,-13.0,-12.0,-13.0,-14.0
Milky,M1+,0.0,0.0,0.0,-4.0,-4.0,-4.0,-7.0,-7.0,-7.0
Milky,M1,0.0,0.0,0.0,-8.0,-8.0,-8.0,-13.0,-13.0,-13.0
Milky,M2,0.0,0.0,0.0,-14.0,-14.0,-14.0,-18.0,-18.0,-18.0
Milky,M3,0.0,0.0,0.0,-19.0,-19.0,-19.0,-23.0,-23.0,-23.0
