Section,bgm,Discount
1,B1,-4
1,B2,-8
1,B3,-13
1,B4,-18
1,G1,-4
1,G2,-8
1,G3,-13
1,G4,-18
1,GR1,-3
1,GR2,-7
1,GR3,-12
1,GR4,-17
1,M1,-6
1,M2,-12
1,M3,-15
1,M4,-20
1,OC1,0
1,OC2,-2
2,B1,-4
2,B2,-8
2,B3,-13
2,B4,-18
2,G1,-4
2,G2,-8
2,G3,-13
2,G4,-18
2,GR1,-3
2,GR2,-7
2,GR3,-12
2,GR4,-17
2,M1,-6
2,M2,-12
2,M3,-15
2,M4,-20
2,OC1,0
2,OC2,-2
3,B1,-3
3,B2,-6
3,B3,-11
3,B4,-16
3,G1,-3
3,G2,-6
3,G3,-11
3,G4,-16
3,GR1,-2
3,GR2,-5
3,GR3,-10
3,GR4,-15
3,M1,-6
3,M2,-12
3,M3,-15
3,M4,-18
3,OC1,0
3,OC2,-2
4,B1,-4
4,B2,-7
4,B3,-12
4,B4,-16
4,G1,-4
4,G2,-7
4,G3,-12
4,G4,-16
4,GR1,-3
4,GR2,-6
4,GR3,-11
4,GR4,-15
4,M1,-6
4,M2,-12
4,M3,-15
4,M4,-20
4,OC1,0
4,OC2,-2
5,B1,-4
5,B2,-8
5,B3,-13
5,B4,-18
5,G1,-4
5,G2,-8
5,G3,-13
5,G4,-18
5,GR1,-3
5,GR2,-7
5,GR3,-12
5,GR4,-17
5,M1,-6
5,M2,-12
5,M3,-15
5,M4,-20
5,OC1,0
5,OC2,-2
6,B1,-2
6,B2,-6
6,B3,-11
6,B4,-16
6,G1,-2
6,G2,-6
6,G3,-11
6,G4,-16
6,GR1,-1
6,GR2,-5
6,GR3,-10
6,GR4,-15
6,M1,-4
6,M2,-8
6,M3,-12
6,M4,-17
6,OC1,0
6,OC2,-1
7,B1,-2
7,B2,-6
7,B3,-10
7,B4,-16
7,G1,-2
7,G2,-6
7,G3,-10
7,G4,-16
7,GR1,-1
7,GR2,-5
7,GR3,-9
7,GR4,-15
7,M1,-4
7,M2,-8
7,M3,-12
7,M4,-17
7,OC1,0
7,OC2,-1
8,B1,-1
8,B2,-5
8,B3,-10
8,B4,-15
8,G1,-1
8,G2,-5
8,G3,-10
8,G4,-15
8,GR1,0
8,GR2,-4
8,GR3,-9
8,GR4,-14
8,M1,-4
8,M2,-8
8,M3,-12
8,M4,-17
8,OC1,0
8,OC2,-1
9,B1,-1
9,B2,-5
9,B3,-10
9,B4,-15
9,G1,-1
9,G2,-5
9,G3,-10
9,G4,-15
9,GR1,0
9,GR2,-4
9,GR3,-9
9,GR4,-14
9,M1,-3
9,M2,-7
9,M3,-10
9,M4,-15
9,OC1,0
9,OC2,-1
