Field,FieldValue,1,2,3,4,5,6,7,8,9,Shape
H&A,Y,1,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,RO
H&A,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RO
Eye Clean,Y,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.0,RO
Eye Clean,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RO
Table Clean,Y,0,0.0,0.0,0.5,0.5,0.5,2.0,2.0,1.0,RO
Table Clean,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RO
H&A,Y,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fancy
H&A,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fancy
Eye Clean,Y,0,0.0,0.0,0.0,0.5,0.5,1.5,1.5,0.5,Fancy
Eye Clean,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fancy
Table Clean,Y,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,Fancy
Table Clean,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fancy
