,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Flou
0,,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Faint
1,D,-7,-7,-7,-6,-6,-5,-5,Faint
2,E,-7,-7,-7,-6,-6,-5,-5,Faint
3,F,-7,-7,-7,-6,-6,-5,-5,Faint
4,G,-6,-6,-6,-5,-5,-4,-4,Faint
5,H,-6,-6,-6,-5,-5,-4,-4,Faint
6,I,-5,-5,-5,-4,-4,-3,-3,Faint
7,J,-5,-5,-5,-4,-4,-3,-3,Faint
8,K,-5,-5,-5,-4,-4,-3,-3,Faint
9,L,,,,,,,,Faint
10,M,,,,,,,,Faint
11,,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Medium
12,D,-12,-12,-12,-11,-11,-10,-10,Medium
13,E,-12,-12,-12,-11,-11,-10,-10,Medium
14,F,-12,-12,-12,-11,-11,-10,-10,Medium
15,G,-11,-11,-11,-10,-10,-9,-9,Medium
16,H,-11,-11,-11,-10,-10,-9,-9,Medium
17,I,-10,-10,-10,-9,-9,-8,-8,Medium
18,J,-10,-10,-10,-9,-9,-8,-8,Medium
19,K,-10,-10,-10,-9,-9,-8,-8,Medium
20,L,,,,,,,,Medium
21,M,,,,,,,,Medium
22,,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Strong
23,D,-17,-17,-17,-16,-16,-15,-15,Strong
24,E,-17,-17,-17,-16,-16,-15,-15,Strong
25,F,-17,-17,-17,-16,-16,-15,-15,Strong
26,G,-16,-16,-16,-15,-15,-14,-14,Strong
27,H,-16,-16,-16,-15,-15,-14,-14,Strong
28,I,-15,-15,-15,-14,-14,-13,-13,Strong
29,J,-15,-15,-15,-14,-14,-13,-13,Strong
30,K,-15,-15,-15,-14,-14,-13,-13,Strong
31,L,,,,,,,,Strong
32,M,,,,,,,,Strong
33,,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Very Strong
34,D,-23,-23,-23,-22,-22,-21,-21,Very Strong
35,E,-23,-23,-23,-22,-22,-21,-21,Very Strong
36,F,-23,-23,-23,-22,-22,-21,-21,Very Strong
37,G,-22,-22,-22,-21,-21,-20,-20,Very Strong
38,H,-22,-22,-22,-21,-21,-20,-20,Very Strong
39,I,-21,-21,-21,-20,-20,-19,-19,Very Strong
40,J,-21,-21,-21,-20,-20,-19,-19,Very Strong
41,K,-21,-21,-21,-20,-20,-19,-19,Very Strong
42,L,,,,,,,,Very Strong
43,M,,,,,,,,Very Strong
