,Grade,What,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,Shape
0,Upgrade,0.5 Color,0,0.0,0.01,0.0,0.0,0.005,0.0,0.0,0.0,Round
1,Upgrade,1 Color,0.005,0.01,0.015,0.005,0.005,0.01,0.0,0.0,0.005,Round
2,Upgrade,1.5 Color,0.01,0.015,0.02,0.01,0.01,0.015,0.005,0.005,0.01,Round
3,Upgrade,2 Color,0.015,0.02,0.025,0.015,0.015,0.02,0.01,0.01,0.015,Round
4,Upgrade,2.5 Color,0.025,0.03,0.035,0.025,0.025,0.03,0.02,0.02,0.025,Round
5,Upgrade,0.5 Clarity,0,0.0,0.0,0.005,0.005,0.0,0.01,0.01,0.005,Round
6,Upgrade,1 Clarity,0.005,0.005,0.005,0.01,0.01,0.005,0.015,0.015,0.01,Round
7,Upgrade,1.5 Clarity,0.01,0.01,0.01,0.015,0.015,0.01,0.02,0.02,0.015,Round
8,Upgrade,2 Clarity,0.015,0.015,0.015,0.02,0.02,0.015,0.025,0.025,0.02,Round
9,Upgrade,2.5 Clarity,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.025,Round
10,Downgrade,0.5 Color,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Round
11,Downgrade,1 Color,-0.005,-0.01,-0.015,-0.005,-0.005,-0.01,0.0,0.0,-0.005,Round
12,Downgrade,1.5 Color,-0.01,-0.015,-0.025,-0.01,-0.01,-0.02,-0.005,-0.005,-0.01,Round
13,Downgrade,2 Color,-0.015,-0.02,-0.03,-0.015,-0.015,-0.025,-0.01,-0.01,-0.015,Round
14,Downgrade,2.5 Color,-0.025,-0.03,-0.03,-0.025,-0.025,-0.025,-0.02,-0.02,-0.025,Round
15,Downgrade,0.5 Clarity,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Round
16,Downgrade,1 Clarity,-0.005,-0.005,-0.005,-0.01,-0.01,-0.005,-0.015,-0.015,-0.01,Round
17,Downgrade,1.5 Clarity,-0.01,-0.01,-0.01,-0.015,-0.015,-0.01,-0.02,-0.02,-0.015,Round
18,Downgrade,2 Clarity,-0.015,-0.015,-0.015,-0.02,-0.02,-0.015,-0.025,-0.025,-0.02,Round
19,Downgrade,2.5 Clarity,-0.02,-0.02,-0.02,-0.03,-0.03,-0.02,-0.03,-0.03,-0.025,Round
20,Upgrade,0.5 Color,0,0.0,0.01,0.0,0.0,0.005,0.0,0.0,0.0,Fancy
21,Upgrade,1 Color,0.005,0.01,0.015,0.005,0.005,0.01,0.0,0.0,0.005,Fancy
22,Upgrade,1.5 Color,0.01,0.015,0.02,0.01,0.01,0.015,0.005,0.005,0.01,Fancy
23,Upgrade,2 Color,0.015,0.02,0.025,0.015,0.015,0.02,0.01,0.01,0.015,Fancy
24,Upgrade,2.5 Color,0.025,0.03,0.035,0.025,0.025,0.03,0.02,0.02,0.025,Fancy
25,Upgrade,0.5 Clarity,0,0.0,0.0,0.005,0.005,0.0,0.01,0.01,0.005,Fancy
26,Upgrade,1 Clarity,0.005,0.005,0.005,0.01,0.01,0.005,0.015,0.015,0.01,Fancy
27,Upgrade,1.5 Clarity,0.01,0.01,0.01,0.015,0.015,0.01,0.02,0.02,0.015,Fancy
28,Upgrade,2 Clarity,0.015,0.015,0.015,0.02,0.02,0.015,0.025,0.025,0.02,Fancy
29,Upgrade,2.5 Clarity,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.025,Fancy
30,Downgrade,0.5 Color,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fancy
31,Downgrade,1 Color,-0.005,-0.01,-0.015,-0.005,-0.005,-0.01,0.0,0.0,-0.005,Fancy
32,Downgrade,1.5 Color,-0.01,-0.015,-0.025,-0.01,-0.01,-0.02,-0.005,-0.005,-0.01,Fancy
33,Downgrade,2 Color,-0.015,-0.02,-0.03,-0.015,-0.015,-0.025,-0.01,-0.01,-0.015,Fancy
34,Downgrade,2.5 Color,-0.025,-0.03,-0.03,-0.025,-0.025,-0.025,-0.02,-0.02,-0.025,Fancy
35,Downgrade,0.5 Clarity,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fancy
36,Downgrade,1 Clarity,-0.005,-0.005,-0.005,-0.01,-0.01,-0.005,-0.015,-0.015,-0.01,Fancy
37,Downgrade,1.5 Clarity,-0.01,-0.01,-0.01,-0.015,-0.015,-0.01,-0.02,-0.02,-0.015,Fancy
38,Downgrade,2 Clarity,-0.015,-0.015,-0.015,-0.02,-0.02,-0.015,-0.025,-0.025,-0.02,Fancy
39,Downgrade,2.5 Clarity,-0.02,-0.02,-0.02,-0.03,-0.03,-0.02,-0.03,-0.03,-0.025,Fancy
