From,To,1,2,3,4,5,6,7,8,9,Cut,Polish,Sym
3,3,-2,-2.0,-1.0,-2.0,-2.0,-1.5,-1.0,-1.0,-1.0,VG+,VG+,VG+
3.01,3.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
3.1,3.249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
3.25,3.499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
3.5,3.749,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,EX,EX,EX
3.5,3.749,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Else,Else,Else
3.75,3.999,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,EX,EX,EX
3.75,3.999,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Else,Else,Else
4,4,-2,-2.0,-1.0,-2.0,-2.0,-1.5,-1.0,-1.0,-1.0,VG+,VG+,VG+
4.01,4.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
4.1,4.24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
4.25,4.49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
4.5,4.99,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,EX,EX,EX
4.5,4.99,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Else,Else,Else
5,5,-3,-3.0,-2.0,-3.0,-2.0,-2.0,-3.0,-2.0,-2.0,VG+,VG+,VG+
5.01,5.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
5.1,5.24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
5.25,5.49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
5.5,5.69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
5.7,5.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
5.9,5.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG+,VG+,VG+
6.5,6.99,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,EX,EX,EX
6.5,6.99,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Else,Else,Else
