From,To,IF VVS F,Cut,Polish,Sym
3,3,-2,VG+,VG+,VG+
3.01,3.09,0,VG+,VG+,VG+
3.1,3.249,0,VG+,VG+,VG+
3.25,3.499,0,VG+,VG+,VG+
3.5,3.749,3,EX,EX,EX
3.5,3.749,1,Else,Else,Else
3.75,3.999,4,EX,EX,EX
3.75,3.999,2,Else,Else,Else
4,4,-2,VG+,VG+,VG+
4.01,4.09,0,VG+,VG+,VG+
4.1,4.24,0,VG+,VG+,VG+
4.25,4.49,0,VG+,VG+,VG+
4.5,4.99,3,EX,EX,EX
4.5,4.99,1,Else,Else,Else
5,5,-1,VG+,VG+,VG+
5.01,5.09,0,VG+,VG+,VG+
5.1,5.24,0,VG+,VG+,VG+
5.25,5.49,0,VG+,VG+,VG+
5.5,5.69,0,VG+,VG+,VG+
5.7,5.89,0,VG+,VG+,VG+
5.9,5.99,0,VG+,VG+,VG+
6.5,6.99,3,EX,EX,EX
6.5,6.99,2,Else,Else,Else
