From,To,1,2,3,4,5,6,7,8,9
1,1,-1.5,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.01,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,1.09,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.1,1.19,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-1.5,-1.5
1.2,1.29,2.0,3.5,3.0,4.0,3.5,3.0,4.5,5.5,3.5
1.3,1.39,4.5,6.5,4.5,6.0,6.0,5.0,7.0,7.0,4.5
1.4,1.49,6.5,10.0,8.5,10.0,10.5,9.0,9.5,11.0,8.5
1.5,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,1.79,3.5,4.5,5.5,3.0,4.5,4.5,4.5,3.5,3.0
1.8,1.89,6.0,7.5,6.0,6.5,7.0,7.0,5.0,6.5,6.0
1.9,1.99,9.0,9.0,7.5,9.0,9.0,8.5,8.5,8.0,8.5
2,2,-2.5,-2.0,-1.0,-2.0,-1.5,0.0,0.0,0.0,0.0
2.01,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,2.24,-2.0,-1.5,-1.0,-1.5,-1.0,0.0,-1.0,0.0,0.0
2.25,2.49,0.5,2.0,3.0,3.0,2.0,3.0,2.0,2.5,2.5
2.5,2.69,7.5,7.5,5.0,8.0,7.5,6.0,7.5,8.0,7.0
2.7,2.79,9.0,8.5,5.5,10.0,9.5,6.5,8.0,8.5,7.5
2.8,2.89,9.5,9.0,6.0,10.5,10.0,7.0,8.5,9.0,8.0
2.9,2.99,10.0,9.5,6.5,11.0,10.5,7.5,9.0,9.5,8.5
